date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:12	135/135	---MCZ	200	added ('OK')	text/plain	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/robots.txt		(from )
23:33:12	190322/190322	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/	./palistudies_mirror/palistudies.blogspot.com/index.html	(from )
23:33:13	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/favicon.ico	./palistudies_mirror/palistudies.blogspot.com/favicon.ico	(from https://palistudies.blogspot.com/)
23:33:14	39164/39164	---M-Z	200	added ('OK')	application/atom+xml	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/feeds/posts/default	./palistudies_mirror/palistudies.blogspot.com/feeds/posts/default	(from https://palistudies.blogspot.com/)
23:33:16	25787/25787	---M-Z	200	added ('OK')	application/rss+xml	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/feeds/posts/default?alt=rss	./palistudies_mirror/palistudies.blogspot.com/feeds/posts/default9522	(from https://palistudies.blogspot.com/)
23:33:17	7658/7658	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2022%20Jul%202025%2000:50:27%20GMT	https://palistudies.blogspot.com/responsive/sprite_v1_6.css.svg	./palistudies_mirror/palistudies.blogspot.com/responsive/sprite_v1_6.css.svg	(from https://palistudies.blogspot.com/)
23:33:17	193228/193228	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/p/navigating-pali-studies.html	./palistudies_mirror/palistudies.blogspot.com/p/navigating-pali-studies.html	(from https://palistudies.blogspot.com/)
23:33:19	248976/248976	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/p/resources.html	./palistudies_mirror/palistudies.blogspot.com/p/resources.html	(from https://palistudies.blogspot.com/)
23:33:20	200818/200818	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/translations	./palistudies_mirror/palistudies.blogspot.com/search/label/translations.html	(from https://palistudies.blogspot.com/)
23:33:21	192689/192689	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/p/about-this-blog.html	./palistudies_mirror/palistudies.blogspot.com/p/about-this-blog.html	(from https://palistudies.blogspot.com/)
23:33:21	331710/331710	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/p/glossary.html	./palistudies_mirror/palistudies.blogspot.com/p/glossary.html	(from https://palistudies.blogspot.com/)
23:33:23	1001593/1001593	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/p/a-practical-grammar-of-pali-language.html	./palistudies_mirror/palistudies.blogspot.com/p/a-practical-grammar-of-pali-language.html	(from https://palistudies.blogspot.com/)
23:33:24	648907/648907	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2022/10/pts-reference-converter-khuddaka-nikaya.html	./palistudies_mirror/palistudies.blogspot.com/2022/10/pts-reference-converter-khuddaka-nikaya.html	(from https://palistudies.blogspot.com/)
23:33:24	97880/97880	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jul%202025%2003:33:24%20GMT	https://palistudies.blogspot.com/https	./palistudies_mirror/palistudies.blogspot.com/https.b.delayed	(from https://palistudies.blogspot.com/)
23:33:26	849331/849331	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2020/02/sutta-number-to-pts-reference-converter.html	./palistudies_mirror/palistudies.blogspot.com/2020/02/sutta-number-to-pts-reference-converter.html	(from https://palistudies.blogspot.com/)
23:33:27	198521/198521	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2020/01/attadanda-sutta-snp-415-translation.html	./palistudies_mirror/palistudies.blogspot.com/2020/01/attadanda-sutta-snp-415-translation.html	(from https://palistudies.blogspot.com/)
23:33:28	172234/172234	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2020/01/karaniya-metta-sutta-snp-18-translation.html	./palistudies_mirror/palistudies.blogspot.com/2020/01/karaniya-metta-sutta-snp-18-translation.html	(from https://palistudies.blogspot.com/)
23:33:29	178393/178393	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/11/what-is-pali-language-little-history.html	./palistudies_mirror/palistudies.blogspot.com/2019/11/what-is-pali-language-little-history.html	(from https://palistudies.blogspot.com/)
23:33:30	299840/299840	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/10/dhamma-section-satipatthana-sutta.html	./palistudies_mirror/palistudies.blogspot.com/2019/10/dhamma-section-satipatthana-sutta.html	(from https://palistudies.blogspot.com/)
23:33:31	159408/159408	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/10/syllables-and-stress.html	./palistudies_mirror/palistudies.blogspot.com/2019/10/syllables-and-stress.html	(from https://palistudies.blogspot.com/)
23:33:32	169200/169200	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/08/velthuis-to-diacritics-converter-pali.html	./palistudies_mirror/palistudies.blogspot.com/2019/08/velthuis-to-diacritics-converter-pali.html	(from https://palistudies.blogspot.com/)
23:33:33	218792/218792	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/05/vedana-citta-sections-satipatthana.html	./palistudies_mirror/palistudies.blogspot.com/2019/05/vedana-citta-sections-satipatthana.html	(from https://palistudies.blogspot.com/)
23:33:34	319343/319343	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/04/intro-kaya-section-satipatthana-sutta.html	./palistudies_mirror/palistudies.blogspot.com/2019/04/intro-kaya-section-satipatthana-sutta.html	(from https://palistudies.blogspot.com/)
23:33:35	191469/191469	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search?updated-max=2019-04-08T17:04:00%2B01:00&max-results=10	./palistudies_mirror/palistudies.blogspot.com/searchc0dd.html	(from https://palistudies.blogspot.com/)
23:33:37	571160/571160	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2018/03/an-introductory-grammar-of-pali.html	./palistudies_mirror/palistudies.blogspot.com/2018/03/an-introductory-grammar-of-pali.html	(from https://palistudies.blogspot.com/)
23:33:38	156286/156286	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/p/privacy-policy.html	./palistudies_mirror/palistudies.blogspot.com/p/privacy-policy.html	(from https://palistudies.blogspot.com/)
23:33:39	106765/106765	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2018/03/	./palistudies_mirror/palistudies.blogspot.com/2018/03/index.html	(from https://palistudies.blogspot.com/)
23:33:39	201576/201576	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2018/05/	./palistudies_mirror/palistudies.blogspot.com/2018/05/index.html	(from https://palistudies.blogspot.com/)
23:33:39	107001/107001	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/-in	./palistudies_mirror/palistudies.blogspot.com/search/label/-in.html	(from https://palistudies.blogspot.com/)
23:33:41	191216/191216	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2018/06/	./palistudies_mirror/palistudies.blogspot.com/2018/06/index.html	(from https://palistudies.blogspot.com/)
23:33:41	106263/106263	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2018/12/	./palistudies_mirror/palistudies.blogspot.com/2018/12/index.html	(from https://palistudies.blogspot.com/)
23:33:41	107514/107514	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/%27to%20be%27	./palistudies_mirror/palistudies.blogspot.com/search/label/'to%20be'.html	(from https://palistudies.blogspot.com/)
23:33:44	116407/116407	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/03/	./palistudies_mirror/palistudies.blogspot.com/2019/03/index.html	(from https://palistudies.blogspot.com/)
23:33:45	115659/115659	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2018/09/	./palistudies_mirror/palistudies.blogspot.com/2018/09/index.html	(from https://palistudies.blogspot.com/)
23:33:45	107168/107168	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/ablative	./palistudies_mirror/palistudies.blogspot.com/search/label/ablative.html	(from https://palistudies.blogspot.com/)
23:33:45	115897/115897	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/04/	./palistudies_mirror/palistudies.blogspot.com/2019/04/index.html	(from https://palistudies.blogspot.com/)
23:33:46	106630/106630	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/05/	./palistudies_mirror/palistudies.blogspot.com/2019/05/index.html	(from https://palistudies.blogspot.com/)
23:33:46	107379/107379	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/absolutes	./palistudies_mirror/palistudies.blogspot.com/search/label/absolutes.html	(from https://palistudies.blogspot.com/)
23:33:46	106893/106893	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/08/	./palistudies_mirror/palistudies.blogspot.com/2019/08/index.html	(from https://palistudies.blogspot.com/)
23:33:46	115428/115428	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/10/	./palistudies_mirror/palistudies.blogspot.com/2019/10/index.html	(from https://palistudies.blogspot.com/)
23:33:54	105802/105802	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2022/10/	./palistudies_mirror/palistudies.blogspot.com/2022/10/index.html	(from https://palistudies.blogspot.com/)
23:33:54	106533/106533	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2019/11/	./palistudies_mirror/palistudies.blogspot.com/2019/11/index.html	(from https://palistudies.blogspot.com/)
23:33:54	125293/125293	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/2020/01/	./palistudies_mirror/palistudies.blogspot.com/2020/01/index.html	(from https://palistudies.blogspot.com/)
23:33:54	107545/107545	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/absolutive	./palistudies_mirror/palistudies.blogspot.com/search/label/absolutive.html	(from https://palistudies.blogspot.com/)
23:33:55	107612/107612	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/abstract%20noun	./palistudies_mirror/palistudies.blogspot.com/search/label/abstract%20noun.html	(from https://palistudies.blogspot.com/)
23:33:56	116749/116749	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/accusative	./palistudies_mirror/palistudies.blogspot.com/search/label/accusative.html	(from https://palistudies.blogspot.com/)
23:33:57	107578/107578	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/action%20noun	./palistudies_mirror/palistudies.blogspot.com/search/label/action%20noun.html	(from https://palistudies.blogspot.com/)
23:33:58	116861/116861	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/adjectives	./palistudies_mirror/palistudies.blogspot.com/search/label/adjectives.html	(from https://palistudies.blogspot.com/)
23:33:59	107416/107416	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/adverb	./palistudies_mirror/palistudies.blogspot.com/search/label/adverb.html	(from https://palistudies.blogspot.com/)
23:34:00	117012/117012	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/adverbial	./palistudies_mirror/palistudies.blogspot.com/search/label/adverbial.html	(from https://palistudies.blogspot.com/)
23:34:01	107177/107177	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2003:23:01%20GMT	https://palistudies.blogspot.com/search/label/agent	./palistudies_mirror/palistudies.blogspot.com/search/label/agent.html	(from https://palistudies.blogspot.com/)
